Title,Metascore,Platform,Release Date
BioShock Infinite,93.0,X360,2013-03-26
Braid,93.0,X360,2008-08-06
God of War II,93.0,PS2,2007-03-13
Super Mario 3D World,93.0,WIIU,2013-11-22
Starcraft II: Wings of Liberty,93.0,PC,2010-07-27
SSX,93.0,PS2,2000-10-30
Street Fighter IV,93.0,X360,2009-02-17
Minecraft,93.0,PC,2009-05-10
Persona 5,93.0,PS4,2017-04-04
Persona 4 Golden,93.0,VITA,2012-11-20
SSX 3,93.0,PS2,2003-10-20
Tom Clancy's Splinter Cell,93.0,XBOX,2002-11-17
Grand Theft Auto III,93.0,PC,2002-05-20
Quake III Arena,93.0,DC,2000-10-22
Homeworld,93.0,PC,1999-08-31
Okami,93.0,PS2,2006-09-19
The Elder Scrolls IV: Oblivion,93.0,PS3,2007-03-20
Fallout 3,93.0,X360,2008-10-28
Gears of War 2,93.0,X360,2008-11-07
SoulCalibur II,93.0,GC,2003-08-27
World Soccer Winning Eleven 6 International,93.0,PS2,2003-03-11
NFL 2K3,93.0,PS2,2002-08-12
Mass Effect 3,93.0,X360,2012-03-06
Metal Gear Solid V: The Phantom Pain,93.0,PS4,2015-09-01
Skies of Arcadia,93.0,DC,2000-11-13
The Legend of Zelda: Skyward Sword,93.0,WII,2011-11-20
Mario Kart Super Circuit,93.0,GBA,2001-08-26
Rock Band 3,93.0,X360,2010-10-26
Viewtiful Joe,93.0,GC,2003-10-07
Test Drive Le Mans,93.0,DC,2000-11-13
NBA 2K1,93.0,DC,2000-11-01
Castlevania: Symphony of the Night,93.0,PS,1997-10-02
Star Wars: Knights of the Old Republic,93.0,PC,2003-11-18
Virtua Fighter 4: Evolution,93.0,PS2,2003-08-13
Uncharted 4: A Thief's End,93.0,PS4,2016-05-10
Braid,93.0,PS3,2009-11-12
Mass Effect 3,93.0,PS3,2012-03-05
Paper Mario,93.0,N64,2001-02-05
Wipeout XL,93.0,PS,1996-09-30
Grand Theft Auto: San Andreas,93.0,XBOX,2005-06-07
INSIDE,93.0,XONE,2016-06-29
World of Warcraft,93.0,PC,2004-11-23
Grand Theft Auto: San Andreas,93.0,PC,2005-06-07
Flipnote Studio,93.0,DS,2009-08-12
World Soccer Winning Eleven 7 International,93.0,PS2,2004-02-17
NBA 2K2,93.0,DC,2001-10-24
SoulCalibur II,92.0,PS2,2003-08-27
The Elder Scrolls V: Skyrim,92.0,PS3,2011-11-11
Prince of Persia: The Sands of Time,92.0,XBOX,2003-11-12
Call of Duty 4: Modern Warfare,92.0,PC,2007-11-05
God of War III,92.0,PS3,2010-03-16
