Title,Metascore,Platform,Release Date
Tiger Woods PGA Tour 07,79.0,PS2,2006-10-10
MTV Music Generator 3: This Is the Remix,79.0,PS2,2004-06-22
Activision Anthology,79.0,GBA,2003-12-09
Gladius,79.0,XBOX,2003-10-28
Day of Defeat,79.0,PC,2003-05-06
Tekken 4,79.0,PS2,2002-09-23
Twisted Metal: Black Online,79.0,PS2,2002-08-27
Jumpgate: The Reconstruction Initiative,79.0,PC,2001-09-23
Aqua Aqua,79.0,PS2,2001-01-09
Space Empires IV,79.0,PC,2000-11-07
Sega Marine Fishing,79.0,DC,2000-08-20
Mirror's Edge,79.0,X360,2008-11-11
Tom Clancy's The Division,79.0,PC,2016-03-08
Resident Evil 4: Ultimate HD Edition,79.0,PC,2014-02-27
Mario vs. Donkey Kong: Mini-Land Mayhem,79.0,DS,2010-11-14
Sam & Max Episode 203: Night of the Raving Dead,79.0,PC,2008-02-12
Metroid Prime Pinball,79.0,DS,2005-10-24
Mega Man & Bass,79.0,GBA,2003-03-10
Alien Hominid HD,79.0,X360,2007-02-28
F.E.A.R. 2: Project Origin,79.0,PS3,2009-02-10
Black,79.0,PS2,2006-02-28
FlatOut: Ultimate Carnage,79.0,PC,2008-08-26
Ghostbusters: The Video Game,79.0,X360,2009-06-16
Naruto Shippuden: Ultimate Ninja Storm 4,79.0,PS4,2016-02-09
Just Dance 2014,79.0,X360,2013-10-08
Retro City Rampage,79.0,VITA,2012-10-09
King Arthur: The Role-Playing Wargame,79.0,PC,2009-11-24
Toki Tori,79.0,WII,2008-06-02
Rock of Ages 2: Bigger & Boulder,79.0,PS4,2017-08-28
Kelvin and the Infamous Machine,79.0,PC,2016-07-21
Final Fantasy XIII-2,79.0,PS3,2012-01-31
Auditorium HD,79.0,PS3,2010-11-23
OlliOlli,79.0,VITA,2014-01-21
Guitar Hero III: Legends of Rock,79.0,PC,2007-11-13
Sid Meier's Civilization: Beyond Earth - Rising Tide,79.0,PC,2015-10-09
Smuggler's Run: Warzones,79.0,GC,2002-08-07
Golden Sun: Dark Dawn,79.0,DS,2010-11-29
Hasbro Family Game Night: Scrabble,79.0,X360,2009-03-18
Memoria,79.0,PC,2013-08-29
FRAMED Collection,79.0,Switch,2018-05-17
Joe Dever's Lone Wolf,79.0,Switch,2018-02-16
The Last Door,79.0,PC,2014-05-20
DeathSpank,79.0,PS3,2010-07-13
MLB 09: The Show,79.0,PS2,2009-03-03
NHL 2K7,79.0,PS3,2006-11-13
Shadowgrounds Survivor,79.0,PC,2007-11-14
Prey,79.0,X360,2006-07-11
Shooty Fruity,79.0,PS4,2017-12-19
The Inner World: The Last Wind Monk,79.0,PC,2017-10-20
Cat Quest,79.0,PC,2017-08-08
Teslagrad,79.0,WIIU,2014-09-11
Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,79.0,WII,2009-07-27
OutRun2,79.0,XBOX,2004-10-25
Armed and Dangerous,79.0,XBOX,2003-12-02
Gothic II,79.0,PC,2003-10-28
Port Royale,79.0,PC,2003-06-04
Deadly Dozen: Pacific Theater,79.0,PC,2002-10-31
Shattered Galaxy,79.0,PC,2001-08-21
Namco Museum,79.0,GBA,2001-06-10
Close Combat: Invasion: Normandy,79.0,PC,2000-10-10
Battlefield 4,79.0,X360,2013-10-29
ZEN Pinball 3D,79.0,3DS,2012-01-12
King's Bounty: The Legend,79.0,PC,2008-09-23
Metal Slug Advance,79.0,GBA,2004-12-02
Buffy the Vampire Slayer,79.0,XBOX,2002-08-18
Bleed 2,79.0,Switch,2018-03-08
ECHO,79.0,PS4,2017-10-10
Hitman - Episode 2: Sapienza,79.0,XONE,2016-04-26
SMITE,79.0,PS4,2016-03-24
Wolfenstein: The New Order,79.0,XONE,2014-05-20
Rage,79.0,PC,2011-10-03
Call of Duty: Black Ops - Escalation,79.0,X360,2011-05-03
The Misadventures of P.B. Winterbottom,79.0,PC,2010-04-20
UEFA EURO 2008,79.0,PS3,2008-05-19
Heavenly Sword,79.0,PS3,2007-09-12
Dragon Age II,79.0,X360,2011-03-08
NCAA Football 13,79.0,PS3,2012-07-10
Tales of Vesperia,79.0,X360,2008-08-26
Fat Princess,79.0,PS3,2009-07-30
Tiger Woods PGA Tour 08,79.0,PS3,2007-08-28
Uru: Ages Beyond Myst,79.0,PC,2003-11-11
Pillars of Eternity: The White March - Part 2,79.0,PC,2016-02-16
Greed Corp,79.0,X360,2010-02-24
WWE SmackDown vs. Raw 2009,79.0,WII,2008-11-09
Little Inferno,79.0,WIIU,2012-11-18
Guild Wars: Eye of the North,79.0,PC,2007-08-28
Outlast 2,79.0,Switch,2018-03-27
Summon Night: Swordcraft Story 2,79.0,GBA,2006-10-17
Driveclub Bikes,79.0,PS4,2015-10-27
Anomaly: Warzone Earth,79.0,X360,2012-04-06
DOOM,79.0,Switch,2017-11-10
Unforeseen Incidents,79.0,PC,2018-05-24
Dead Space: Extraction,79.0,PS3,2011-01-25
Project: Snowblind,79.0,XBOX,2005-02-23
LEGO Harry Potter: Years 1-4,79.0,WII,2010-06-29
LEGO Harry Potter: Years 1-4,79.0,PS3,2010-06-29
Trackmania Turbo,79.0,PC,2016-03-24
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,79.0,PC,2015-08-18
Battle Chasers: Nightwar,79.0,PC,2017-10-03
Pit People,79.0,XONE,2018-03-02
Nioh: Defiant Honor,79.0,PS4,2017-07-25
Enslaved: Odyssey to the West - Pigsy's Perfect 10,79.0,PS3,2010-11-23
Mini Ninjas,79.0,WII,2009-09-08
Carcassonne,79.0,X360,2007-06-27
Harvest Moon: A Wonderful Life,79.0,GC,2004-03-16
Sphinx and the Cursed Mummy,79.0,XBOX,2003-11-10
EverQuest: Lost Dungeons of Norrath,79.0,PC,2003-09-08
Battlefield 1942: Secret Weapons of WWII,79.0,PC,2003-09-04
Robot Alchemic Drive,79.0,PS2,2002-11-04
NHL 2003,79.0,PS2,2002-09-30
The Sims: Unleashed,79.0,PC,2002-09-23
NHL Hitz 20-02,79.0,GC,2001-11-17
Worms World Party,79.0,DC,2001-06-03
Resident Evil 3: Nemesis,79.0,DC,2000-11-17
RayStorm,79.0,PS,1996-12-31
The King of Fighters XIV,79.0,PS4,2016-08-23
Tales of Berseria,79.0,PS4,2017-01-24
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,79.0,VITA,2016-07-26
Halfbrick Echoes,79.0,PSP,2009-11-19
Race the Sun,79.0,PC,2013-08-19
MotorStorm Arctic Edge,79.0,PSP,2009-09-29
Hitman - Episode 3: Marrakesh,79.0,PC,2016-05-31
The Sims 3: Pets,79.0,PC,2011-10-18
Pac-Man 256,79.0,PS4,2016-06-21
MTX Mototrax,79.0,XBOX,2004-03-02
Prototype,79.0,PC,2009-06-10
Alienation,79.0,PS4,2016-04-26
Steredenn: Binary Stars,79.0,Switch,2018-03-08
Zwei: The Ilvard Insurrection,79.0,PC,2017-10-31
Torment: Tides of Numenera,79.0,XONE,2017-02-28
Hand of Fate,79.0,PS4,2015-02-17
Stick it to the Man!,79.0,PC,2013-12-13
Street Fighter X Tekken,79.0,PC,2012-05-11
Assault Heroes,79.0,X360,2006-12-13
Guilty Gear X,79.0,PS2,2001-09-30
Perfect Dark,79.0,X360,2010-03-17
Frozen Cortex,79.0,PC,2015-02-19
Burnout Paradise Remastered,79.0,XONE,2018-03-16
Tacoma,79.0,XONE,2017-08-02
Sphinx and the Cursed Mummy,79.0,GC,2003-11-10
Gears of War: Judgment,79.0,X360,2013-03-19
Halo Wars 2,79.0,XONE,2017-02-17
Anarcute,79.0,PC,2016-07-12
Pool Nation,79.0,X360,2012-10-31
Free Realms,79.0,PC,2009-04-29
Homeworld: Deserts of Kharak,79.0,PC,2016-01-20
L.A. Noire,79.0,Switch,2017-11-14
Don't Starve,79.0,PC,2013-04-23
Bleed 2,79.0,PS4,2018-02-06
Hue,79.0,PC,2016-08-30
Assault Android Cactus,79.0,PC,2015-09-23
Chessmaster,79.0,XBOX,2004-10-26
All-Star Baseball 2003,79.0,XBOX,2002-02-25
Trainz,79.0,PC,2002-02-10
NHL Hitz 20-02,79.0,XBOX,2001-11-14
Super Dodge Ball Advance,79.0,GBA,2001-06-10
Super Smash Bros.,79.0,N64,1999-04-26
Atelier Escha & Logy: Alchemists of the Dusk Sky,79.0,PS3,2014-03-11
Pro Evolution Soccer 2015,79.0,XONE,2014-11-11
The Lord of the Rings: The Two Towers,79.0,XBOX,2002-12-30
Tiger Woods PGA Tour 11,79.0,X360,2010-06-08
Twisted Metal: Head-On,79.0,PSP,2005-03-24
Geometry Wars: Galaxies,79.0,DS,2007-11-27
Captain Toad: Treasure Tracker,79.0,3DS,2018-07-13
Heat Signature,79.0,PC,2017-09-21
Wonder Boy: The Dragon's Trap,79.0,Switch,2017-04-18
Tales of Monkey Island Chapter 2: The Siege of Spinner Cay,79.0,WII,2009-08-31
FIFA Soccer 08,79.0,PSP,2007-10-08
Sonic Advance 3,79.0,GBA,2004-06-07
Chivalry: Medieval Warfare,79.0,PC,2012-10-16
de Blob 2,79.0,WII,2011-02-22
Wonder Boy: The Dragon's Trap,79.0,PS4,2017-04-18
Overlord II,79.0,PC,2009-06-23
Victor Vran: Overkill Edition,79.0,XONE,2017-05-30
NHL 06,79.0,XBOX,2005-09-06
OutRun Online Arcade,79.0,X360,2009-04-15
Band Hero,79.0,WII,2009-11-03
Hearthstone: Journey to Un'Goro,79.0,PC,2017-04-06
The Darkness II,79.0,PS3,2012-02-07
Scram Kitty and His Buddy on Rails,79.0,WIIU,2014-05-15
F.E.A.R. 2: Project Origin,79.0,PC,2009-02-10
Lego Star Wars,79.0,GC,2005-10-25
MLB Power Pros 2008,79.0,WII,2008-07-29
Major League Baseball 2K7,79.0,X360,2007-02-26
World to the West,79.0,XONE,2017-05-05
Atelier Rorona Plus: The Alchemist of Arland,79.0,VITA,2014-07-22
Space Channel 5 Special Edition,79.0,PS2,2003-11-18
Emergency Fire Response,79.0,PC,2003-07-30
Downhill Domination,79.0,PS2,2003-07-23
Lunar Legend,79.0,GBA,2002-12-08
2002 FIFA World Cup,79.0,XBOX,2002-04-22
Breath of Fire,79.0,GBA,2001-12-13
Sky Odyssey,79.0,PS2,2000-11-15
Mario Party,79.0,N64,1999-02-08
N+,79.0,PSP,2008-08-26
Spider-Man 3,79.0,DS,2007-05-04
Silent Hill: Shattered Memories,79.0,WII,2009-12-08
Marble Blast Ultra,79.0,X360,2006-01-23
echochrome ii,79.0,PS3,2010-12-21
The Metronomicon,79.0,PC,2016-09-01
Pro Evolution Soccer 2011,79.0,X360,2010-10-19
The Book of Unwritten Tales 2,79.0,XONE,2015-09-18
Tom Clancy's Rainbow Six Siege,79.0,PC,2015-12-01
The Settlers 7: Paths to a Kingdom,79.0,PC,2010-03-23
RollerCoaster Tycoon 3: Soaked!,79.0,PC,2005-06-23
BlazBlue: Cross Tag Battle,79.0,Switch,2018-06-05
Rune Factory Frontier,79.0,WII,2009-03-17
Mantis Burn Racing,79.0,XONE,2016-10-12
Mighty Switch Force!,79.0,3DS,2011-12-22
EVERSPACE,79.0,PC,2017-05-26
Dark Souls II: Crown of the Old Iron King,79.0,PC,2014-08-26
TrackMania 2 Valley,79.0,PC,2013-07-04
Wolfenstein II: The New Colossus,79.0,Switch,2018-06-29
State of Decay,79.0,PC,2013-11-05
Rock Band 3,79.0,DS,2010-10-26
High Hell,79.0,PC,2017-10-23
EA Sports UFC 2,79.0,PS4,2016-03-15
F1 2013,79.0,X360,2013-10-08
LEGO Harry Potter: Years 1-4,79.0,PC,2010-06-29
Mirror's Edge,79.0,PS3,2008-11-11
Sid Meier's Civilization VI: Rise and Fall,79.0,PC,2018-02-08
Blue Dragon,79.0,X360,2007-08-28
Final Fight: Double Impact,79.0,PS3,2010-04-15
Tacoma,79.0,PS4,2018-05-08
Far Cry 5,79.0,PC,2018-03-27
Call of Duty: WWII,79.0,PS4,2017-11-03
Monster Hunter Stories,79.0,3DS,2017-09-08
Noitu Love: Devolution,79.0,WIIU,2016-09-15
Extreme Exorcism,79.0,WIIU,2015-09-23
CastleStorm,79.0,VITA,2013-11-05
Rift: Storm Legion,79.0,PC,2012-11-13
Wizorb,79.0,PSP,2012-07-24
Tom Clancy's Ghost Recon: Future Soldier,79.0,PS3,2012-05-22
Madden NFL 12,79.0,PS3,2011-08-30
Crayon Physics Deluxe,79.0,PC,2009-01-07
Tony Hawk's Proving Ground,79.0,DS,2007-10-15
Nancy Drew: Legend of the Crystal Skull,79.0,PC,2007-10-08
Mario Strikers Charged,79.0,WII,2007-07-30
Mega Man Maverick Hunter X,79.0,PSP,2006-01-31
EverQuest II: Desert of Flames,79.0,PC,2005-09-12
Madden NFL 2005,79.0,GBA,2004-08-09
SimCity 4: Rush Hour,79.0,PC,2003-09-22
The Simpsons: Hit & Run,79.0,GC,2003-09-16
Tenchu: Wrath of Heaven,79.0,PS2,2003-03-03
Uncommon Valor: Campaign for the South Pacific,79.0,PC,2002-12-02
Deathrow,79.0,XBOX,2002-10-22
Global Operations,79.0,PC,2002-03-25
Burnout,79.0,PS2,2001-11-01
Mega Man Battle Network,79.0,GBA,2001-10-30
StarLancer,79.0,DC,2000-11-27
Shadow Warrior 2,78.0,PC,2016-10-13
Dance Dance Revolution Ultramix 2,78.0,XBOX,2004-11-18
Apotheon,78.0,PC,2015-02-03
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,78.0,XONE,2016-12-20
Need for Speed: Most Wanted - A Criterion Game,78.0,PC,2012-10-30
Star Wars: Battlefront II,78.0,PC,2005-10-31
The Walking Dead: Season Two Episode 1 - All That Remains,78.0,PC,2013-12-17
WWE SmackDown vs. Raw 2010,78.0,WII,2009-10-20
Roogoo,78.0,X360,2008-06-04
Golf Story,78.0,Switch,2017-09-28
DG2: Defense Grid 2,78.0,XONE,2014-09-24
The Journey Down: Chapter Two,78.0,PC,2014-08-25
Muramasa Rebirth,78.0,VITA,2013-06-25
Star Trek: Elite Force II,78.0,PC,2003-06-25
Tiger Woods PGA Tour 11,78.0,PS3,2010-06-08
Pinball FX3,78.0,PS4,2017-09-26
The Lion's Song,78.0,PC,2016-07-07
This War of Mine: The Little Ones,78.0,XONE,2016-01-29
Call of Juarez: Bound in Blood,78.0,PS3,2009-06-30
Zuma's Revenge!,78.0,PC,2009-09-15
Xanadu Next,78.0,PC,2016-11-03
Obliteracers,78.0,PC,2016-02-23
ZEN Pinball 2: Balls of Glory,78.0,PS4,2015-10-20
The Denpa Men: They Came By Wave,78.0,3DS,2012-09-27
Traxxpad,78.0,PSP,2007-06-26
Alien Hominid,78.0,GC,2004-11-23
Hasbro Family Game Night: Yahtzee,78.0,X360,2009-03-18
Tiger Woods PGA Tour,78.0,PSP,2005-03-23
Broken Sword: Shadow of the Templars - The Director's Cut,78.0,DS,2009-03-24
Layers of Fear,78.0,XONE,2016-02-16
Crash Bandicoot N. Sane Trilogy,78.0,XONE,2018-06-29
Baldur's Gate: Enhanced Edition,78.0,PC,2012-11-28
Disgaea 3: Absence of Justice,78.0,PS3,2008-08-26
Doom 3: Resurrection of Evil,78.0,PC,2005-04-04
LEGO Indiana Jones: The Original Adventures,78.0,PC,2008-06-03
Yakuza 4,78.0,PS3,2011-03-15
EVERSPACE,78.0,PS4,2018-05-22
DeathSmiles,78.0,PC,2016-03-10
The Sims 3,78.0,PS3,2010-10-26
Wade Hixton's Counter Punch,78.0,GBA,2004-03-15
Baldur's Gate: Dark Alliance II,78.0,PS2,2004-01-20
NASCAR Thunder 2004,78.0,PC,2003-09-16
Dave Mirra Freestyle BMX 3,78.0,GBA,2002-11-26
Contra: Shattered Soldier,78.0,PS2,2002-10-22
Freekstyle,78.0,GC,2002-09-05
Dynasty Warriors 3,78.0,PS2,2001-11-26
Shadow of Destiny,78.0,PS2,2001-03-05
Midnight Club: Street Racing,78.0,PS2,2000-10-25
Swing Away Golf,78.0,PS2,2000-10-25
Harvest Moon 64,78.0,N64,1999-11-30
Sphinx and the Cursed Mummy,78.0,PS2,2003-11-10
Skylanders: Spyro's Adventure,78.0,X360,2011-10-16
NHL 17,78.0,PS4,2016-09-13
Madden NFL 12,78.0,X360,2011-08-30
inFamous: Festival of Blood,78.0,PS3,2011-10-25
A Way Out,78.0,PS4,2018-03-23
The Sims 4: City Living,78.0,PC,2016-11-01
Rock Band Blitz,78.0,PS3,2012-08-28
Lost Odyssey,78.0,X360,2008-02-12
Rez,78.0,PS2,2002-01-07
Klonoa 2: Dream Champ Tournament,78.0,GBA,2005-02-23
BattleTech,78.0,PC,2018-04-24
Death Road to Canada,78.0,PS4,2018-05-08
Doki Doki Literature Club!,78.0,PC,2017-09-22
Far Cry Instincts Evolution,78.0,XBOX,2006-03-28
Fallout 4 VR,78.0,PC,2017-12-12
Transformers: Fall of Cybertron,78.0,PC,2012-08-20
Gurumin: A Monstrous Adventure,78.0,PSP,2007-02-12
Vanquish,78.0,PC,2017-05-25
Madden NFL 07,78.0,PSP,2006-08-22
FIFA Soccer 06,78.0,PC,2005-10-04
Yoshi's Woolly World,78.0,WIIU,2015-10-16
Stellaris,78.0,PC,2016-05-09
The House of the Dead: Overkill,78.0,WII,2009-02-10
Super Rude Bear Resurrection,78.0,PS4,2017-05-02
Bomberman Land Touch!,78.0,DS,2006-11-07
Big Bang Mini,78.0,DS,2009-01-21
SIREN: Blood Curse,78.0,PS3,2008-07-24
Mothergunship,78.0,PS4,2018-07-17
WWE '13,78.0,X360,2012-10-30
Pro Evolution Soccer 2010,78.0,PS3,2009-11-03
Hotel Dusk: Room 215,78.0,DS,2007-01-22
Cosmic Star Heroine,78.0,Switch,2018-08-14
Archangel: Hellfire,78.0,PC,2018-07-17
King's Quest Chapter 5: The Good Knight,78.0,PS4,2016-10-25
Prototype,78.0,X360,2009-06-09
Project: Snowblind,78.0,PS2,2005-02-23
The Thing,78.0,PS2,2002-08-19
DeathSpank: Thongs of Virtue,78.0,X360,2011-01-04
Hatsune Miku: Project Diva X,78.0,PS4,2016-08-30
Alien: Isolation,78.0,XONE,2014-10-07
DeadCore,78.0,PC,2013-08-13
Conker: Live & Reloaded,78.0,XBOX,2005-06-21
Castlevania: The Adventure ReBirth,78.0,WII,2009-12-28
The Walking Dead: Season Two Episode 5 - No Going Back,78.0,PC,2014-08-26
MLB 2005,78.0,PS2,2004-03-16
Neverwinter Nights: Shadows of Undrentide,78.0,PC,2003-06-17
Knockout Kings 2003,78.0,GC,2002-10-09
Duke Nukem: Manhattan Project,78.0,PC,2002-05-14
Konami Collector's Series: Arcade Advanced,78.0,GBA,2002-03-21
Gradius Galaxies,78.0,GBA,2001-11-12
Tales of Destiny II,78.0,PS,2001-09-10
Detroit: Become Human,78.0,PS4,2018-05-25
Metal Gear Solid: Snake Eater 3D,78.0,3DS,2012-02-21
Overcooked!,78.0,PS4,2016-08-02
Marvel: Ultimate Alliance,78.0,PS3,2006-11-17
Grand Kingdom,78.0,PS4,2016-06-21
Bridge Constructor Portal,78.0,PS4,2018-03-01
Wuppo,78.0,PC,2016-09-29
Joe Danger 2: The Movie,78.0,PS3,2012-10-09
Robocalypse,78.0,DS,2008-11-17
For Honor,78.0,PS4,2017-02-14
The Disney Afternoon Collection,78.0,PC,2017-04-18
Closure,78.0,PC,2009-01-01
Dead Rising 2,78.0,PC,2010-09-27
TumbleSeed,78.0,Switch,2017-05-02
ONRUSH,78.0,XONE,2018-06-05
Call of Duty: Advanced Warfare,78.0,PC,2014-11-03
MotorStorm RC,78.0,VITA,2012-03-06
AstroPop,78.0,X360,2006-03-22
Dragon Quest VI: Realms of Revelation,78.0,DS,2011-02-14
Theatrhythm Final Fantasy,78.0,3DS,2012-07-03
Teleglitch: Die More Edition,78.0,PC,2013-07-24
Age of Empires: Mythologies,78.0,DS,2008-11-24
Donkey Kong Country,78.0,GBA,2003-06-09
Zero Escape: Zero Time Dilemma,78.0,PC,2016-06-29
LEGO Marvel Super Heroes,78.0,PC,2013-10-22
League of Legends,78.0,PC,2009-10-27
Rabbids Go Home,78.0,WII,2009-11-01
The Movies: Stunts & Effects,78.0,PC,2006-06-06
Deus Ex: Human Revolution - The Missing Link,78.0,PS3,2011-10-18
Asphalt 4: Elite Racing,78.0,DS,2009-07-06
Shaun White Snowboarding: Road Trip,78.0,WII,2008-11-16
Dynasty Warriors 4,78.0,PS2,2003-03-25
Shox,78.0,PS2,2002-11-19
Super Ghouls 'n Ghosts,78.0,GBA,2002-09-23
The Thing,78.0,XBOX,2002-09-09
Tropico: Paradise Island,78.0,PC,2002-02-03
NASCAR Heat 2002,78.0,XBOX,2001-11-14
MechWarrior 4: Black Knight Expansion,78.0,PC,2001-10-31
Cool Boarders 2001,78.0,PS2,2001-05-21
Ridge Racer V,78.0,PS2,2000-10-25
NFL Blitz 2001,78.0,DC,2000-09-14
Apollo Justice: Ace Attorney,78.0,DS,2008-02-19
Observer,78.0,PC,2017-08-15
Forgotton Anne,78.0,PS4,2018-05-15
Rune Factory: A Fantasy Harvest Moon,78.0,DS,2007-08-14
The Tomb Raider Trilogy,78.0,PS3,2011-03-22
1001 Spikes,78.0,PS4,2014-06-03
The Walking Dead: 400 Days,78.0,PS3,2013-07-02
Disney Guilty Party,78.0,WII,2010-08-26
Skylanders Imaginators,78.0,XONE,2016-10-16
Warp,78.0,PS3,2012-03-13
Wild Arms 3,78.0,PS2,2002-10-15
Tales of Xillia,78.0,PS3,2013-08-06
Ken Follett's The Pillars of the Earth,78.0,PC,2017-08-15
Shadow Warrior 2,78.0,XONE,2017-05-19
Hatsune Miku: Project Diva F 2nd,78.0,PS3,2014-11-18
Karaoke Revolution Party,78.0,PS2,2005-11-08
The Adventures of Cookie & Cream,78.0,PS2,2001-04-30
Swords & Soldiers HD,78.0,WIIU,2014-05-22
Pro Evolution Soccer 2011,78.0,WII,2010-11-23
Tom Clancy's Rainbow Six: Vegas 2,78.0,PC,2008-04-15
"Blast Works: Build, Trade, Destroy",78.0,WII,2008-06-11
LEGO Star Wars: The Force Awakens,78.0,PS4,2016-06-28
Musynx,78.0,Switch,2018-06-19
Runner3,78.0,PC,2018-05-22
Dungeon of the Endless,78.0,XONE,2016-03-16
Blaster Master Zero,78.0,Switch,2017-03-09
Unravel,78.0,PS4,2016-02-09
Sonic & Sega All-Stars Racing,78.0,WII,2010-02-23
Blackwood Crossing,78.0,XONE,2017-04-05
Candleman,78.0,XONE,2017-02-01
Fluidity: Spin Cycle,78.0,3DS,2012-12-27
Super Street Fighter IV: Arcade Edition,78.0,X360,2011-06-28
Arc the Lad Collection,78.0,PS,2002-04-18
Resident Evil: Revelations Collection,78.0,Switch,2017-11-28
FIFA Soccer 2005,78.0,GC,2004-10-12
Tom Clancy's Splinter Cell Pandora Tomorrow,78.0,GC,2004-07-20
Hitman: Contracts,78.0,XBOX,2004-04-20
Puzzle Pirates,78.0,PC,2003-12-08
The Lord of the Rings: The Return of the King,78.0,PC,2003-10-31
Crimson Sea,78.0,XBOX,2002-12-16
2002 FIFA World Cup,78.0,GC,2002-04-30
Knockout Kings 2002,78.0,XBOX,2002-03-04
Star Trek Starfleet Command: Orion Pirates,78.0,PC,2001-07-01
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,78.0,XONE,2016-12-20
Two Worlds II: Pirates of the Flying Fortress,78.0,PC,2011-09-30
Devil May Cry 4,78.0,PC,2008-07-08
Breath of Fire: Dragon Quarter,78.0,PS2,2003-02-16
Soul Bubbles,78.0,DS,2008-06-10
Praetorians,78.0,PC,2003-03-10
Mario and Donkey Kong: Minis on the Move,78.0,3DS,2013-05-09
Mary Skelter: Nightmares,78.0,VITA,2017-09-19
Naruto: Rise of a Ninja,78.0,X360,2007-10-30
Sonic Rush Adventure,78.0,DS,2007-09-18
Stealth Inc: A Clone in the Dark,78.0,VITA,2013-07-23
Call of Duty Classic,78.0,PS3,2009-12-03
Bust-A-Move Live!,78.0,X360,2009-09-30
MLB 09: The Show,78.0,PSP,2009-03-03
Bejeweled 3,78.0,X360,2011-10-19
Tiger Woods PGA Tour 07,78.0,PSP,2006-10-10
Forma.8,78.0,PS4,2017-02-23
Shin Megami Tensei: Persona,78.0,PSP,2009-09-22
Toy Story 3,78.0,PS3,2010-06-15
Call of Duty: Black Ops - First Strike,78.0,X360,2011-02-01
Silent Hill: Origins,78.0,PSP,2007-11-06
Sniper Elite 4,78.0,PC,2017-02-14
EA Sports Active 2,78.0,PS3,2010-11-16
Final Fantasy XIV Online: A Realm Reborn,78.0,PS3,2013-08-27
Chime Super Deluxe,78.0,PS3,2011-03-29
DeathSpank: Thongs of Virtue,78.0,PS3,2010-09-21
Lost Planet: Extreme Condition Colonies Edition,78.0,X360,2008-05-27
Chaos on Deponia,78.0,PC,2012-11-06
James Bond 007: NightFire,78.0,XBOX,2002-11-18
"That Dragon, Cancer",78.0,PC,2016-01-12
Unravel Two,78.0,PC,2018-06-09
Sairento VR,78.0,PC,2018-01-19
Human Resource Machine,78.0,PC,2015-10-15
Adventures of Pip,78.0,WIIU,2015-06-04
LISA,78.0,PC,2014-12-15
OlliOlli,78.0,PC,2014-07-22
Strider,78.0,PC,2014-02-19
Dead Space 3,78.0,PC,2013-02-05
Anno 1701: Dawn of Discovery,78.0,DS,2008-03-04
Tomb Raider: Anniversary,78.0,PSP,2007-08-09
Metal Gear Solid: Digital Graphic Novel,78.0,PSP,2006-06-13
Condemned: Criminal Origins,78.0,PC,2006-04-11
Blitz: The League,78.0,XBOX,2005-10-17
Capcom Classics Collection,78.0,PS2,2005-09-27
Shin Megami Tensei: Digital Devil Saga,78.0,PS2,2005-04-05
Culdcept,78.0,PS2,2003-12-04
MVP Baseball 2003,78.0,PC,2003-03-24
Midtown Madness 2,78.0,PC,2000-09-21
Need for Speed: Porsche Unleashed,78.0,PS,2000-02-29
The Wonderful 101,78.0,WIIU,2013-09-15
Kingdom Under Fire: Heroes,78.0,XBOX,2005-09-20
Fatal Frame III: The Tormented,78.0,PS2,2005-11-08
WWE SmackDown vs. Raw 2009,78.0,PS3,2008-11-09
Mario Golf: World Tour,78.0,3DS,2014-05-02
Street Fighter Anniversary Collection,78.0,PS2,2004-08-31
New Play Control! Donkey Kong Jungle Beat,78.0,WII,2009-05-04
NHL 16,78.0,PS4,2015-09-15
Rock Band 4,78.0,PS4,2015-10-06
Karaoke Revolution Presents: American Idol,78.0,PS2,2007-01-02
Crash Commando,78.0,PS3,2008-12-18
Dragon's Dogma: Dark Arisen,78.0,PS4,2017-10-03
Mushroom 11,78.0,PC,2015-10-15
Killzone: Mercenary,78.0,VITA,2013-09-10
Dragon's Dogma,78.0,PS3,2012-05-22
The Persistence,78.0,PS4,2018-07-24
Tropico 4: Modern Times,78.0,PC,2012-03-29
Don't Starve: Console Edition,78.0,PS4,2014-01-07
NFL Blitz,78.0,X360,2012-01-04
Call of Duty 2: Big Red One,78.0,XBOX,2005-11-01
Super Monkey Ball Deluxe,78.0,PS2,2005-03-15
Mega Man ZX Advent,78.0,DS,2007-10-23
Soul of Darkness,78.0,DS,2010-07-05
Ken Follett's The Pillars of the Earth,78.0,XONE,2017-08-15
Skullgirls,78.0,X360,2012-04-11
NCAA March Madness 06,78.0,PS2,2005-10-11
Ultimate Spider-Man,78.0,DS,2005-09-19
Pit People,78.0,PC,2018-03-02
Super Cloudbuilt,78.0,PS4,2017-07-25
Brandish: The Dark Revenant,78.0,PSP,2015-01-13
Burnout,78.0,GC,2002-04-29
Drakan: The Ancients' Gates,78.0,PS2,2002-01-28
Madden NFL 06,78.0,PC,2005-08-17
Hearts of Iron: Platinum,78.0,PC,2004-09-21
Armed and Dangerous,78.0,PC,2003-12-02
Gladius,78.0,PS2,2003-10-28
MLB Slugfest 20-04,78.0,PS2,2003-03-16
